DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,1,4.146020095,2.78622707,1.998872389,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.320769112,0.051135553,0.051029394,0.036537379,0.065981263,0.060001907,0,0,0,0,0,0,0,0,0
1,3,1.653846407,0.708948668,0.748203064,0.671486523,0.818108481,0.956711453,0,0,0,0,0,0,0,0,0
1,4,5.476016837,3.346735986,1.960215988,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.495207609,0.175409394,0.14815919,0.194514588,0.252290049,0.257512538,0,0,0,0,0,0,0,0,0
1,6,1.794336893,0.926429311,0.901052169,1.12057411,1.621339741,1.846807416,0,0,0,0,0,0,0,0,0
1,7,0.030465221,0.109268493,0.20136832,0.151995165,0.109453152,0.127340578,0.112809838,0,0,0,0,0,0,0,0
1,8,0.019294265,0.021623062,0.033795621,0.043842149,0.087368342,0.130909573,0.151535335,0,0,0,0,0,0,0,0
1,9,0.145415988,0.170397527,0.284771307,0.393375897,0.529897436,0.602265291,0.686553077,0,0,0,0,0,0,0,0
1,10,0.063837258,0.071790776,0.125013444,0.291038675,0.424681279,0.542372001,0.639436351,0.530707864,0,0,0,0,0,0,0
1,11,0.044306087,0.043722901,0.045318796,0.051655985,0.063604937,0.067170219,0.049620758,0,0,0,0,0,0,0,0
1,12,0.069763222,0.078698236,0.081026131,0.104223653,0.13938141,0.11598816,0.087161987,0,0,0,0,0,0,0,0
1,13,0.647541269,0.349704083,0.436726399,0.534408268,0.621921133,0.70923718,0.635769314,0,0,0,0,0,0,0,0
1,14,0.212481542,0.15857376,0.288723245,0.519355415,0.85441772,0.970130962,0.993068792,0.791852423,0,0,0,0,0,0,0
1,15,0.823558093,0.628031379,0.641473296,0.516150984,0.385511298,0,0,0,0,0,0,0,0,0,0
1,16,0.420218943,0.097625348,0.082753856,0.093454404,0.105511133,0.134946076,0.165126613,0.150501128,0,0,0,0,0,0,0
1,17,0.179725029,0.133099847,0.090678064,0.094005462,0.094788357,0.091506417,0.088889479,0.072401149,0,0,0,0,0,0,0
1,18,0.440781479,0.091382337,0.087155848,0.117485659,0.121845165,0.182741213,0.241025339,0.326107709,0,0,0,0,0,0,0
1,19,0.088829954,0.027406712,0.040903994,0.059127363,0.072933156,0.073145763,0.062621637,0.047773232,0,0,0,0,0,0,0
1,20,0.072617723,0.051009427,0.042904037,0.09075693,0.109253435,0.142499089,0.174055648,0,0,0,0,0,0,0,0
1,21,0.149768671,0.034571136,0.031236773,0.019166621,0.013203478,0.01884953,0.021999586,0,0,0,0,0,0,0,0
1,22,0.141888078,0.015975297,0.039882725,0.067161744,0.091614432,0.070735643,0.051296207,0,0,0,0,0,0,0,0
1,23,0.022475601,0.022475601,0.0439491,0.0439491,0.016547978,0,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,0.001354053,0.001354053,0.002475174,0.002475174,0.002261909,0.002261909,0.002531859,0.002531859,0.001116725,0,0,0,0,0,0
1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
