DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,15,1.7,15,1.7,5,1.1,7,1.2,,,,,,,,,,,,
1,2,37,2.45,15,1.7,0,1,7,1.2,,,,,,,,,,,,
1,3,37,2.45,15,1.7,0,1,7,1.2,,,,,,,,,,,,
1,4,15,1.7,15,1.7,5,1.1,7,1.2,,,,,,,,,,,,
1,5,35,2.45,15,1.7,0,1,7,1.2,,,,,,,,,,,,
1,6,35,2.45,15,1.7,0,1,7,1.2,,,,,,,,,,,,
1,7,40,2.5,15,1.7,0,1,4,1.1,,,,,,,,,,,,
1,8,40,2.5,15,1.7,0,1,4,1.1,,,,,,,,,,,,
1,9,35,2.4,15,1.7,0,1,4,1.1,,,,,,,,,,,,
1,10,35,2.4,15,1.7,0,1,4,1.1,,,,,,,,,,,,
1,11,40,2.5,15,1.7,0,1,4,1.1,,,,,,,,,,,,
1,12,40,2.5,15,1.7,0,1,4,1.1,,,,,,,,,,,,
1,13,35,2.4,15,1.7,0,1,4,1.1,,,,,,,,,,,,
1,14,35,2.4,15,1.7,0,1,4,1.1,,,,,,,,,,,,
1,15,10,1.6,15,1.7,4,1.8,7,1.2,,,,,,,,,,,,
1,16,35,2.4,15,1.7,0,1,7,1.2,,,,,,,,,,,,
1,17,35,2.5,20,1.7,0,1,4,1.1,,,,,,,,,,,,
1,18,25,2,15,1.7,0,1,12,1.5,,,,,,,,,,,,
1,19,30,2.2,20,1.7,0,1,4,1.1,,,,,,,,,,,,
1,20,35,2.4,40,2,0,1,2,1.1,,,,,,,,,,,,
1,21,35,2.4,40,2,0,1,2,1.1,,,,,,,,,,,,
1,22,35,2.5,20,1.7,0,1,4,1.1,,,,,,,,,,,,
1,23,40,2.5,40,2,0,1,2,1.1,,,,,,,,,,,,
1,24,40,2.5,40,2,0,1,2,1.1,,,,,,,,,,,,
1,25,40,2.5,20,1.7,0,1,4,1.1,,,,,,,,,,,,
1,26,12,1.7,15,1.7,10,1.5,12,1.5,,,,,,,,,,,,
1,27,12,1.7,15,1.7,10,1.5,12,1.5,,,,,,,,,,,,
1,28,12,1.7,15,1.7,8,1.5,10,1.5,,,,,,,,,,,,
1,29,12,1.7,15,1.7,10,1.5,12,1.5,,,,,,,,,,,,
1,30,12,1.7,15,1.7,10,1.5,12,1.5,,,,,,,,,,,,
1,31,12,1.7,15,1.7,8,1.5,10,1.5,,,,,,,,,,,,
1,32,12,1.7,15,1.7,10,1.5,12,1.5,,,,,,,,,,,,
1,33,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,34,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,35,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,36,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,37,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,38,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,39,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,40,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,41,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,42,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,43,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,44,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,45,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,46,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,47,10,1.7,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,48,10,1.7,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,49,15,1.78,20,1.7,4,1,4,1.1,,,,,,,,,,,,
1,50,12,1.7,15,1.7,4,1,12,1.5,,,,,,,,,,,,
1,51,15,1.78,20,1.7,4,1,4,1.1,,,,,,,,,,,,
1,52,15,1.78,40,2,4,1,2,1.1,,,,,,,,,,,,
1,53,15,1.78,40,2,4,1,2,1.1,,,,,,,,,,,,
1,54,15,1.78,20,1.7,4,1,4,1.1,,,,,,,,,,,,
1,55,15,1.78,40,2,4,1,2,1.1,,,,,,,,,,,,
1,56,15,1.78,40,2,4,1,2,1.1,,,,,,,,,,,,
1,57,15,1.78,20,1.7,4,1,4,1.1,,,,,,,,,,,,
1,58,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,59,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,60,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,61,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,62,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,63,10,1.68,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,64,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,65,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,66,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,67,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,68,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,69,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,70,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,71,15,1.98,15,1.7,4,1,4,1.1,,,,,,,,,,,,
1,72,10,1.7,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,73,10,1.7,15,1.7,4,1,7,1.2,,,,,,,,,,,,
1,74,15,1.78,20,1.7,4,1,4,1.1,,,,,,,,,,,,
1,75,12,1.7,15,1.7,4,1,12,1.5,,,,,,,,,,,,
1,76,15,1.78,20,1.7,4,1,4,1.1,,,,,,,,,,,,
1,77,15,1.78,40,2,4,1,2,1.1,,,,,,,,,,,,
1,78,15,1.78,40,2,4,1,2,1.1,,,,,,,,,,,,
1,79,15,1.78,20,1.7,4,1,4,1.1,,,,,,,,,,,,
1,80,15,1.78,40,2,4,1,2,1.1,,,,,,,,,,,,
1,81,15,1.78,40,2,4,1,2,1.1,,,,,,,,,,,,
1,82,15,1.78,20,1.7,4,1,4,1.1,,,,,,,,,,,,
1,83,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1,84,0,0,0,0,0,0,0,0,,,,,,,,,,,,
1,85,0,0,0,0,0,0,0,0,,,,,,,,,,,,
