DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,6,32,0,1,0.035,0,0.7,0.7,0.14,40,3,0,0.25,0,0.25,0.059341949,0.3,,8.931119554,0
1,2,6.1,50,0,1,0.01,0,0.7,0.7,0.08,40,6,0,0.25,0,0.25,195.4043145,0.3,,0.585454608,0
1,3,6,45,0,1,0.01,0,0.7,0.7,0.08,40,6,0,0.25,0,0.25,0.075188096,0.3,,5.557304596,0
1,4,6.1,37,0,1,0.01,0,0.7,0.7,0.14,40,3,0,0.25,0,0.25,0.031785529,0.3,,10.78296881,0
1,5,6,50,0,1,0.01,0,0.7,0.7,0.08,40,6,0,0.25,0,0.25,5.47067417,0.3,,1.523093368,0
1,6,5.9,45,0,1,0.01,0,0.7,0.7,0.08,40,6,0,0.25,0,0.25,0.020178863,0.3,,8.21053964,0
1,7,5.8,55,0,1,0.01,0,0.7,0.9,0.1,40,7,0,0.25,0,0.25,14.07817362,0.3,,0.842700767,0
1,8,6.12,40,0,1,0.01,0,0.7,0.9,0.09,40,7,0,0.25,0,0.25,236.5394106,0.3,,0.488368347,0
1,9,5.87,50,0,1,0.01,0,0.7,0.9,0.07,40,7,0,0.25,0,0.25,0.596710229,0.3,,2.812676523,0
1,10,5.95,45,0,1,0.01,0,0.7,0.9,0.07,40,8,0,0.25,0,0.25,0.574173199,0.3,,2.688877648,0
1,11,5.65,55,0,1,0.01,0,0.7,0.9,0.1,40,7,0,0.25,0,0.25,290.1536743,0.3,,0.365399683,0
1,12,6,45,0,1,0.01,0,0.7,0.9,0.09,40,7,0,0.25,0,0.25,12.34594555,0.3,,0.676242799,0
1,13,5.8,50,0,1,0.02,0,0.7,0.9,0.07,40,7,0,0.25,0,0.25,0.157913405,0.3,,3.935307646,0
1,14,5.7,50,0,1,0.02,0,0.7,0.9,0.07,40,8,0,0.25,0,0.25,0.06415525,0.3,,4.788603859,0
1,15,6.9,65,0,1,0.02,0,0.7,0.7,0.14,40,5,0,0.25,0,0.25,2.192557946,0.3,,2.99472505,0
